"","brand","model","processor_brand","processor_name","processor_gnrtn","processor_gnrtn_isBAD","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","display_size_isBAD","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews","latest_price_cat"
"824","Lenovo","Ideapad","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","Yes",983.709677419355,0,0,4.4,530,69,"mid"
"826","HP","Pavilion","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",4,"Casual",16,0,1,"No","No",1467.58064516129,103215,11,4.6,273,40,"high"
"827","Vaio","E","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,2,"No","Yes",919.193548387097,76090,25,3.8,139,26,"mid"
"828","ASUS","VivoBook","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",1032.09677419355,67551,5,4.2,77,7,"mid"
"829","Lenovo","Ideapad","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","Yes",1032.09677419355,85290,24,4.4,105,10,"mid"
"830","HP","Ryzen","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",935.467741935484,73625,21,4.1,44,5,"mid"
"832","Lenovo","Yoga","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",16,0,1,"Yes","No",1274.03225806452,125888,37,4.7,6,0,"mid"
"836","DELL","G5","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",6,"Casual",16,0,0,"No","No",1451.45161290323,99067,9,4.1,191,27,"high"
"838","Lenovo","Ryzen","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",4,"Casual",16,0,0,"No","No",1179.64516129032,112990,35,3,4,1,"mid"
"842","HP","15s","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","Yes",1104.83870967742,72000,4,4.5,134,22,"mid"
"844","Vaio","E","AMD","Ryzen 7",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,2,"No","Yes",935.322580645161,76090,23,3.8,139,26,"mid"
"845","HP","Pavilion","AMD","Ryzen 7",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",2,"Casual",14,0,1,"No","Yes",1290.16129032258,86352,7,3.5,23,6,"mid"
"846","HP","Pavilion","AMD","Ryzen 7",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",4,"Gaming",15.6,0,1,"No","Yes",1370.8064516129,111108,23,2.8,4,2,"high"
"847","MSI","Alpha","AMD","Ryzen 7",10.3318112633181,1,16,"DDR4",1024,0,"Windows","64-bit",8,"Casual",15.6,0,1,"No","No",1612.74193548387,145990,31,4.7,108,24,"high"
"848","ASUS","ROG","AMD","Ryzen 7",10.3318112633181,1,8,"LPDDR4X",1024,0,"Windows","64-bit",4,"Casual",14,0,0,"No","No",1177.25806451613,123990,41,4.6,198,24,"mid"
"854","ASUS","TUF","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",1024,0,"Windows","32-bit",4,"Gaming",15.1220212765957,1,0,"No","No",1548.22580645161,105990,9,4.7,57,3,"high"
"861","ASUS","ROG","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",1024,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","Yes",1225.8064516129,126990,40,5,1,1,"mid"
"862","ASUS","ROG","AMD","Ryzen 7",10.3318112633181,1,4,"LPDDR4X",1024,0,"Windows","64-bit",4,"Casual",16,0,1,"Yes","No",1612.74193548387,162990,38,4.4,77,15,"high"
"864","ASUS","Ryzen","AMD","Ryzen 7",10.3318112633181,1,16,"LPDDR4X",1024,0,"Windows","64-bit",0,"ThinNlight",13.3,0,1,"No","Yes",1370.48387096774,110990,23,3,2,1,"high"
"865","HP","Pavilion","AMD","Ryzen 7",10.3318112633181,1,16,"DDR4",256,1024,"Windows","64-bit",4,"Gaming",15.6,0,1,"No","Yes",1225.64516129032,93564,18,4.5,1084,123,"mid"
"866","acer","Nitro","AMD","Ryzen 7",10.3318112633181,1,16,"DDR4",256,1024,"Windows","64-bit",6,"Casual",15.6,0,1,"No","No",1451.45161290323,119990,25,4.4,272,36,"high"
"867","acer","Nitro","AMD","Ryzen 7",10.3318112633181,1,16,"DDR4",256,1024,"Windows","64-bit",4,"Casual",15.6,0,0,"No","No",1322.41935483871,119900,31,4.5,141,24,"mid"
"872","ASUS","ROG","AMD","Ryzen 9",10.3318112633181,1,16,"DDR4",1024,0,"Windows","64-bit",4,"Casual",15.6,0,0,"No","No",1854.67741935484,162990,29,4.6,28,4,"high"
"873","ASUS","ROG","AMD","Ryzen 9",10.3318112633181,1,16,"DDR4",1024,0,"Windows","64-bit",6,"Casual",15.6,0,1,"No","Yes",2096.61290322581,187990,30,4.3,204,35,"high"
"874","ASUS","ROG","AMD","Ryzen 9",10.3318112633181,1,16,"LPDDR4X",1024,0,"Windows","64-bit",4,"Casual",13.4,0,1,"Yes","Yes",1854.67741935484,175990,34,4.3,32,6,"high"
"876","ASUS","VivoBook","AMD","Ryzen 9",10.3318112633181,1,4,"DDR4",1024,0,"Windows","64-bit",0,"Casual",16,0,1,"No","No",1693.38709677419,142990,26,4.5,14,2,"high"
"877","ASUS","ROG","AMD","Ryzen 9",10.3318112633181,1,4,"LPDDR4X",1024,0,"Windows","64-bit",4,"Casual",16,0,1,"Yes","No",1854.67741935484,181990,36,4.7,14,1,"high"
"878","ASUS","ROG","AMD","Ryzen 9",10.3318112633181,1,4,"LPDDR4X",1024,0,"Windows","64-bit",4,"Casual",16,0,1,"Yes","Yes",2015.96774193548,175990,28,5,3,0,"high"
"884","ASUS","ROG","AMD","Ryzen 9",10.3318112633181,1,4,"LPDDR4X",1024,0,"Windows","64-bit",4,"Casual",15.1220212765957,1,1,"Yes","Yes",2015.96774193548,194990,35,4.2,44,12,"high"
"896","Lenovo","Thinkpad","AMD","Ryzen 5",10,0,8,"DDR4",512,0,"DOS","64-bit",0,"ThinNlight",14,0,0,"No","No",927.258064516129,78400,26,4.2,18,4,"mid"
